,Colon cancer,Periodontal,Gastric and duodenal ulcer,Gastro-oesophageal reflux,Guttate psoriasis,Atopy,Diarrhea Irritable bowel syndrome(IBS),Irritable bowel syndrome(IBS),Constipation Irritable bowel syndrome(IBS),Obesity,Ileal Crohn's disease(CD),Bacterial Vaginosis,Infectious colitis,Ulcerative colitis,Crohn's disease(CD),Allergic sensitization,Atopic dermatitis,Atopic sensitisation,Eczema,Recurrent wheeze,Allergy,Asthma,Inflammatory bowel disease(IBD),Cystic fibrosis,Rheumatoid arthrits,Psoriasis,Necrotizing Enterocolitis,Systemic inflammatory response syndrome,COPD,Type 2 diabetes,Type 1 diabetes,Colorectal carcinoma,Kidney stones,Whipple's disease,Liver cirrhosis,Allergic asthma,Clostridium difficile infection(CDI),Skin and mucosal infections,New-onset untreated rheumatoid arthrits
Colon cancer,1.0,0.07204441757922919,0.08352041564145549,0.058042591233727674,0.22543951458870912,0.11209545816144806,0.40573009633947726,0.40573009633947726,0.40573009633947726,0.26572169105457455,0.5722251422703455,0.15284034987312603,0.4972720644992716,0.4054253069039168,0.5722251422703455,0.11209545816144806,0.021180987404741638,0.11209545816144806,0.03678300896385837,0.05846788626175886,0.11209545816144806,0.05846788626175886,0.5799747509778548,0.3389194326606835,0.31668497542655405,0.22543951458870912,0.1298371479394576,0.29629678783591606,0.16794848803192272,0.2242370126944849,0.06806331360617998,0.7325007553277039,0.10388190353877687,0.4551264698799625,0.27600597100089547,0.05846788626175886,0.4040304402672717,0.07581114876110984,0.31668497542655405
Periodontal,0.07204441757922919,0.9999999999999998,0.04476786683770141,0.025874021673878596,0.12910758394886113,0.10098250803314832,0.01577065653030072,0.01577065653030072,0.01577065653030072,0.1545664897082062,0.11532937885021248,0.0867588775613234,0.018447945241171566,0.09672962343845243,0.11532937885021248,0.10098250803314832,0.02974649881027567,0.10098250803314832,0.05863904924751713,0.0535045231850646,0.10098250803314832,0.0535045231850646,0.06932733566028251,0.0679599596848262,0.12302024723309785,0.12910758394886113,0.07267156258463138,0.0758985175378799,0.02180135365959053,0.13972791546100666,0.06730209315792651,0.07449251612400615,0.03577148090830006,0.027492876297641078,0.12816449271203578,0.0535045231850646,0.007257847414658252,0.04010319416746694,0.12302024723309785
Gastric and duodenal ulcer,0.08352041564145549,0.04476786683770141,1.0,0.2841272662309185,0.1079436945550613,0.13386139721004414,0.38455591077129453,0.38455591077129453,0.38455591077129453,0.016417188939070362,0.17715865130857156,0.014596412552066344,0.0745987381247652,0.24531731979033847,0.17715865130857156,0.13386139721004414,0.04861855349440028,0.13386139721004414,0.0796454195434507,0.05097712946715365,0.13386139721004414,0.05097712946715365,0.19654661012100966,0.0635724771871407,0.21522590137075628,0.1079436945550613,0.022340675819819654,0.027651030273507002,0.012837828294837105,0.01812458968268985,0.019703701199424967,0.08004473414710797,0.04276615406150779,0.07133532340083598,0.11587519413376592,0.05097712946715365,0.043798100745741676,0.01876472463814078,0.21522590137075628
Gastro-oesophageal reflux,0.058042591233727674,0.025874021673878596,0.2841272662309185,0.9999999999999998,0.04385891695651565,0.15185744966640674,0.144835150645338,0.144835150645338,0.144835150645338,0.05883072007939712,0.07119213791615954,0.011506925737155515,0.02571286172249179,0.05350296979774906,0.07119213791615954,0.15185744966640674,0.01730388881769827,0.15185744966640674,0.022952854497098246,0.14619274778035146,0.15185744966640674,0.14619274778035146,0.06471867402593,0.1635867520222464,0.10902528511469227,0.04385891695651565,0.028211913697859664,0.029125065182312587,0.06247571540510781,0.04759087598719817,0.016765795237548394,0.06206269221747705,0.042076611376050864,0.04412397452643152,0.05800738626323299,0.14619274778035146,0.01158941669114676,0.0034918297875610018,0.10902528511469227
Guttate psoriasis,0.22543951458870912,0.12910758394886113,0.1079436945550613,0.04385891695651565,1.0,0.5097629382504869,0.07832372422649196,0.07832372422649196,0.07832372422649196,0.318250148519786,0.29628259162795106,0.22608774891859784,0.12754428448735217,0.3624708778191821,0.29628259162795106,0.5097629382504869,0.8453471514611944,0.5097629382504869,0.8179403503412574,0.13071540274690896,0.5097629382504869,0.13071540274690896,0.22458880297961714,0.12199656952850582,0.3744903562591938,1.0,0.05781810674311379,0.22566613535652325,0.05594795319395224,0.30745207495233756,0.1555831322534049,0.30609881231260333,0.09041778056672142,0.16986774225393406,0.2489782620535524,0.13071540274690896,0.09779017693381817,0.6855887058384729,0.3744903562591938
Atopy,0.11209545816144806,0.10098250803314832,0.13386139721004414,0.15185744966640674,0.5097629382504869,0.9999999999999999,0.10375790654526021,0.10375790654526021,0.10375790654526021,0.07779926895705795,0.26099202739472527,0.12992681835604256,0.10548598072893448,0.32766165814930814,0.26099202739472527,0.9999999999999999,0.4940679491265766,0.9999999999999999,0.6240024793254659,0.7998564144735723,0.9999999999999999,0.7998564144735723,0.17551202349813888,0.34678871158246316,0.3181051133696382,0.5097629382504869,0.08164791461639812,0.15660014208869838,0.17521304521648556,0.07382962002039714,0.04291064847555538,0.14274307143257658,0.05606171320239558,0.13213969392666902,0.18748173765315718,0.7998564144735723,0.07685811506199103,0.40891593753443733,0.3181051133696382
Diarrhea Irritable bowel syndrome(IBS),0.40573009633947726,0.01577065653030072,0.38455591077129453,0.144835150645338,0.07832372422649196,0.10375790654526021,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.010012035810339175,0.5097828952970667,0.06961331241367777,0.5353313058366396,0.45219461900868163,0.5097828952970667,0.1037579065452602,0.0222948542402875,0.1037579065452602,0.04094821377430386,0.017124214032089746,0.1037579065452602,0.017124214032089746,0.6146328607565449,0.1745412196733991,0.1673972465906349,0.07832372422649196,0.028760444865372402,0.04244364517527176,0.00665843324063763,0.015030028822877193,0.019053263869403377,0.5000994582520819,0.06750223522718128,0.34000635381510436,0.07050263188930239,0.017124214032089746,0.4240045286360923,0.04828059211771757,0.1673972465906349
Irritable bowel syndrome(IBS),0.40573009633947726,0.01577065653030072,0.38455591077129453,0.144835150645338,0.07832372422649196,0.10375790654526021,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.010012035810339175,0.5097828952970667,0.06961331241367777,0.5353313058366396,0.45219461900868163,0.5097828952970667,0.10375790654526021,0.0222948542402875,0.10375790654526021,0.040948213774303854,0.01712421403208975,0.10375790654526021,0.01712421403208975,0.6146328607565448,0.17454121967339908,0.16739724659063487,0.07832372422649196,0.028760444865372402,0.04244364517527176,0.00665843324063763,0.01503002882287719,0.01905326386940338,0.5000994582520819,0.06750223522718131,0.34000635381510436,0.07050263188930239,0.01712421403208975,0.4240045286360923,0.04828059211771757,0.16739724659063487
Constipation Irritable bowel syndrome(IBS),0.40573009633947726,0.01577065653030072,0.38455591077129453,0.144835150645338,0.07832372422649196,0.10375790654526021,1.0000000000000002,1.0000000000000002,1.0000000000000002,0.010012035810339175,0.5097828952970667,0.06961331241367777,0.5353313058366396,0.45219461900868163,0.5097828952970667,0.1037579065452602,0.0222948542402875,0.1037579065452602,0.04094821377430386,0.017124214032089746,0.1037579065452602,0.017124214032089746,0.6146328607565449,0.1745412196733991,0.1673972465906349,0.07832372422649196,0.028760444865372402,0.04244364517527176,0.00665843324063763,0.015030028822877193,0.019053263869403377,0.5000994582520819,0.06750223522718128,0.34000635381510436,0.07050263188930239,0.017124214032089746,0.4240045286360923,0.04828059211771757,0.1673972465906349
Obesity,0.26572169105457455,0.1545664897082062,0.016417188939070362,0.05883072007939712,0.318250148519786,0.07779926895705795,0.010012035810339175,0.010012035810339175,0.010012035810339175,1.0000000000000004,0.0727589968751372,0.09055536298022257,0.03435774817418386,0.037219820686436235,0.0727589968751372,0.07779926895705795,0.010783795345389504,0.07779926895705795,0.02659122475408003,0.10997585597074458,0.07779926895705795,0.10997585597074458,0.09589443326530063,0.07852226400160985,0.10436436471992895,0.31825014851978595,0.044278312622393956,0.21244833605784896,0.06893410011767098,0.7157596049424092,0.13056397719679824,0.3703479956394428,0.13544686089711655,0.06391148585027415,0.3431304566944246,0.10997585597074458,0.002142698271640403,0.0009047041592688427,0.10436436471992895
Ileal Crohn's disease(CD),0.5722251422703455,0.11532937885021248,0.17715865130857156,0.07119213791615954,0.29628259162795106,0.26099202739472527,0.5097828952970667,0.5097828952970667,0.5097828952970667,0.0727589968751372,0.9999999999999997,0.18899403753355573,0.8582687252205268,0.8878389396977284,0.9999999999999998,0.26099202739472527,0.06767434298643127,0.26099202739472527,0.15588191300455123,0.11312874628336059,0.26099202739472527,0.11312874628336059,0.9243429635513459,0.3124858026169366,0.36398427936662475,0.29628259162795106,0.10755313253912596,0.2333691559595444,0.07482822687428026,0.11047704999753127,0.09122539014069025,0.7649831970966133,0.1467453786549118,0.6470784078228268,0.20143913454437024,0.11312874628336059,0.7948117540392492,0.13649867423838233,0.36398427936662475
Bacterial Vaginosis,0.15284034987312603,0.0867588775613234,0.014596412552066344,0.011506925737155515,0.22608774891859784,0.12992681835604256,0.06961331241367777,0.06961331241367777,0.06961331241367777,0.09055536298022257,0.18899403753355573,0.9999999999999998,0.1157051757681112,0.11832377168328433,0.18899403753355573,0.12992681835604256,0.15607076477881268,0.12992681835604256,0.15288296599730314,0.05777750613328568,0.12992681835604256,0.05777750613328568,0.1803088778927829,0.15818572076074566,0.09248719983281628,0.22608774891859787,0.6991055183351806,0.17532088448450361,0.009003692247411972,0.09553135582999323,0.09343912601094558,0.203805580668508,0.04744414253528645,0.06940010860697383,0.06467889279042695,0.05777750613328568,0.09931800010200181,0.12194202876998032,0.09248719983281628
Infectious colitis,0.4972720644992716,0.018447945241171566,0.0745987381247652,0.02571286172249179,0.12754428448735217,0.10548598072893448,0.5353313058366396,0.5353313058366396,0.5353313058366396,0.03435774817418386,0.8582687252205268,0.1157051757681112,0.9999999999999998,0.7439510712565813,0.8582687252205267,0.10548598072893448,0.026740844220933785,0.10548598072893446,0.05478673336801092,0.020160942886312264,0.10548598072893446,0.020160942886312264,0.9104168975676997,0.217759059585055,0.15196044076353754,0.12754428448735217,0.05863949024919556,0.13600393473452996,0.019169309910394366,0.04179598520170896,0.031026455657440406,0.7974614697859563,0.06787200316186366,0.647402132310799,0.10020557479717809,0.020160942886312264,0.968573237192109,0.10910310597991392,0.15196044076353754
Ulcerative colitis,0.4054253069039168,0.09672962343845243,0.24531731979033847,0.05350296979774906,0.3624708778191821,0.32766165814930814,0.45219461900868163,0.45219461900868163,0.45219461900868163,0.037219820686436235,0.8878389396977284,0.11832377168328433,0.7439510712565813,0.9999999999999999,0.8878389396977284,0.32766165814930814,0.12428578840698618,0.32766165814930814,0.2659958665585813,0.15123853819611374,0.32766165814930814,0.15123853819611374,0.7885820669070724,0.20540147852187268,0.33758472550080676,0.3624708778191821,0.054129088296128836,0.13311762265246133,0.04492393860061593,0.07906428649317111,0.08910023099077669,0.6325203367860027,0.08803407980589607,0.514902093455927,0.1370496834206712,0.15123853819611374,0.7077374466429004,0.1177324900983422,0.33758472550080676
Crohn's disease(CD),0.5722251422703455,0.11532937885021248,0.17715865130857156,0.07119213791615954,0.29628259162795106,0.26099202739472527,0.5097828952970667,0.5097828952970667,0.5097828952970667,0.0727589968751372,0.9999999999999998,0.18899403753355573,0.8582687252205267,0.8878389396977284,0.9999999999999997,0.26099202739472527,0.06767434298643127,0.26099202739472527,0.15588191300455123,0.11312874628336059,0.26099202739472527,0.11312874628336059,0.9243429635513459,0.3124858026169366,0.36398427936662475,0.29628259162795106,0.10755313253912596,0.2333691559595444,0.07482822687428026,0.11047704999753127,0.09122539014069025,0.7649831970966133,0.1467453786549118,0.6470784078228268,0.20143913454437024,0.11312874628336059,0.7948117540392492,0.13649867423838233,0.36398427936662475
Allergic sensitization,0.11209545816144806,0.10098250803314832,0.13386139721004414,0.15185744966640674,0.5097629382504869,0.9999999999999999,0.1037579065452602,0.10375790654526021,0.1037579065452602,0.07779926895705795,0.26099202739472527,0.12992681835604256,0.10548598072893448,0.32766165814930814,0.26099202739472527,0.9999999999999999,0.4940679491265766,0.9999999999999999,0.6240024793254659,0.7998564144735723,0.9999999999999999,0.7998564144735723,0.17551202349813888,0.34678871158246316,0.3181051133696382,0.5097629382504869,0.08164791461639812,0.15660014208869838,0.17521304521648556,0.07382962002039714,0.04291064847555538,0.14274307143257658,0.05606171320239558,0.13213969392666902,0.18748173765315718,0.7998564144735723,0.07685811506199103,0.40891593753443733,0.3181051133696382
Atopic dermatitis,0.021180987404741638,0.02974649881027567,0.04861855349440028,0.01730388881769827,0.8453471514611944,0.4940679491265766,0.0222948542402875,0.0222948542402875,0.0222948542402875,0.010783795345389504,0.06767434298643127,0.15607076477881268,0.026740844220933785,0.12428578840698618,0.06767434298643127,0.4940679491265766,0.9999999999999998,0.4940679491265766,0.8709713848398338,0.13065488510929807,0.49406794912657653,0.13065488510929807,0.04187748724617228,0.050543639038429546,0.11671250850584752,0.8453471514611944,0.017241906540737605,0.06610041899812741,0.022244840101600404,0.01278553005979726,0.011344584017919965,0.04207779853260224,0.015864406058633946,0.02381214649985562,0.0843564205154427,0.13065488510929807,0.013556100777124672,0.7754267752445239,0.11671250850584752
Atopic sensitisation,0.11209545816144806,0.10098250803314832,0.13386139721004414,0.15185744966640674,0.5097629382504869,0.9999999999999999,0.1037579065452602,0.10375790654526021,0.1037579065452602,0.07779926895705795,0.26099202739472527,0.12992681835604256,0.10548598072893446,0.32766165814930814,0.26099202739472527,0.9999999999999999,0.4940679491265766,0.9999999999999999,0.6240024793254659,0.7998564144735723,0.9999999999999999,0.7998564144735723,0.17551202349813888,0.34678871158246316,0.3181051133696382,0.5097629382504869,0.08164791461639812,0.15660014208869838,0.17521304521648556,0.07382962002039714,0.04291064847555538,0.14274307143257658,0.05606171320239558,0.13213969392666902,0.18748173765315718,0.7998564144735723,0.07685811506199103,0.40891593753443733,0.3181051133696382
